casenew,weighta,P550tpr,P344pr,P425r,A172,A093r,A094r,A121r,SexHRP,A049r,G018r,G019r,Gorx,weightar
7602,4.921542268,356.3176923,391.8,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,3 person,1 adult,Two or more children,South East,0.943167488
7600,7.94051597,608.6299762,749.4275,Earned income,Yes,Unemployed and work related Government Training Programmes,"Higher managerial, administrative and professional occupations",Public rented,Female,3 person,3 adults,No children,South West,1.521725527
7599,4.04850611,393.3030199,313.862,Other income,No,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.775858284
7599,6.337122217,181.0293355,609.739,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,London,1.214450129
7591,3.738017364,334.3479555,621.384,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Scotland,0.716356023
7591,4.634491011,110.23,108.3,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,West Midlands,0.888156802
7580,7.443728047,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,South East,1.426520773
7578,7.700414217,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,Eastern,1.475712274
7575,3.519316641,208.6614377,252.84,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,Eastern,0.674444077
7572,6.488932105,203.781459,644.81,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,Scotland,1.243543072
7569,5.154395679,288.675,0,Other income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Female,1 person,1 adult,No children,North West and Merseyside,0.987791663
7569,3.653029524,332.4049189,645.74,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Female,3 person,2 adults,One child,East Midlands,0.700068899
7563,5.224842465,457.5991022,464.65,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,North West and Merseyside,1.00129213
7560,6.056738513,124.4468947,369.23,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,1.160717218
7559,4.716839991,102.495,150.19,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Female,2 person,1 adult,One child,West Midlands,0.903938213
7558,7.758416669,687.0981522,414.5925,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.486827901
7557,3.793021435,229.9044274,213.987,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,0.726897038
7555,7.152878372,362.3536764,513.58,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,Eastern,1.370782157
7552,4.05211144,133.09,148.522,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,West Midlands,0.776549211
7550,3.882007244,234.882648,375.655,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,West Midlands,0.743950335
7544,7.89706232,230.7472562,245.392,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Public rented,Male,1 person,1 adult,No children,Scotland,1.513398041
7542,3.893715123,187.1866109,222.752,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South East,0.746194041
7540,3.933245079,763.625126,1178.61,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,0.753769586
7540,4.276275733,1175,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.819508199
7539,3.427708322,608.6542903,1184.99,Earned income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,Scotland,0.656888201
7532,4.687370741,267.4240231,459.71,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,North West and Merseyside,0.898290708
7530,8.504457793,513.665,484.79,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,5 person or more,2 adults,Two or more children,London,1.629799696
7525,10.41270884,669.457699,1176.62,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,1.995498139
7512,6.829951123,979.4525305,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,Eastern,1.308896174
7511,7.037934831,257.6204718,320.03,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Female,3 person,3 adults,No children,South West,1.348754304
7508,6.420163024,161.3544431,392.58,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,1.230364122
7504,3.057447478,222.0341261,440.692,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,3 person,2 adults,One child,West Midlands,0.585931178
7504,5.754413099,1175,529.63,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,1.102779383
7503,4.698776511,528.9536252,1066.91,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Scotland,0.900476517
7498,9.945545001,1017.856334,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,4 and more adults,No children,Scotland,1.905970564
7492,9.50451088,235.5493629,521.572,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,1.821450505
7491,5.319456359,782.1338757,535.3235897,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Female,4 person,1 adult,Two or more children,Yorkshire and the Humber,1.019423997
7491,5.550840649,245.1896047,604.042,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,North West and Merseyside,1.063766629
7489,5.185338042,379.1827264,688.98,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,North East,0.993721478
7486,5.869998468,486.9327077,528.822,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,North West and Merseyside,1.124930237
7485,7.057917094,829.5118492,1178.775,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,2 person,2 adults,No children,Eastern,1.352583717
7483,6.005296417,552.5168421,644.285,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,5 person or more,2 adults,Two or more children,South West,1.150858822
7475,7.118459466,249.2825818,290.894,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,2 person,2 adults,No children,North West and Merseyside,1.364186096
7475,5.791298546,115.68,54,Other income,Yes,Economically inactive,Routine and manual occupations,Private rented,Female,1 person,1 adult,No children,Wales,1.109848134
7468,4.563662502,448.33525,1006.7975,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Wales,0.874583182
7463,5.605535694,69.37857233,71.62,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Male,1 person,1 adult,No children,East Midlands,1.074248423
7459,3.501138316,286.5117215,497.27,Earned income,Yes,Full-time working,Intermediate occupations,Public rented,Female,1 person,1 adult,No children,North East,0.670960372
7459,7.630226838,148.3867077,222.702,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.46226152
7457,2.358390487,338.625,998.23,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,3 adults,Two or more children,Northern Ireland,0.451963452
7455,4.05211144,191.5788824,185.402,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,West Midlands,0.776549211
7453,3.494627425,632.8838411,522.624,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.669712621
7453,8.389315825,545.9788026,824.495,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,North West and Merseyside,1.607733816
7448,4.337839868,316.9286555,288.57,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.831306389
7447,2.975220942,315.7035686,611.664,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.570173232
7444,3.457851731,465.84,362.35,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,North West and Merseyside,0.662664903
7441,3.006683275,536.0805052,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,5 person or more,2 adults,Two or more children,Scotland,0.576202693
7440,5.434928161,293.3761315,717.2161538,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,Eastern,1.041553087
7439,3.393273249,152.67,282,Other income,No,Economically inactive,Routine and manual occupations,Private rented,Female,4 person,2 adults,Two or more children,North West and Merseyside,0.650289042
7431,4.836345598,656.790275,780.11,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,North West and Merseyside,0.926840344
7431,4.481010089,794.5441534,1160.575,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,Yorkshire and the Humber,0.858743621
7425,5.931174829,447.5841484,560.52,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,London,1.136654113
7415,3.655495168,398.6680599,183.54,Other income,No,Economically inactive,Routine and manual occupations,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.700541417
7407,5.990118236,207.6583647,225.184,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,London,1.147950065
7406,4.741425098,493.0203362,680.744,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,South West,0.908649719
7404,4.699107534,499.0176616,776.4066667,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,North East,0.900539954
7400,4.571854932,792.9198043,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Eastern,0.876153185
7399,4.708528857,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,South West,0.902345462
7397,5.518675686,701.0208881,284.132,Other income,Yes,Unemployed and work related Government Training Programmes,Intermediate occupations,Owned,Female,1 person,1 adult,No children,London,1.057602515
7396,4.49539937,289.2457055,278.2,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,West Midlands,0.861501192
7393,5.996363531,480.1052425,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.149146918
7391,7.301817751,620.9398775,1076.320897,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.399324994
7388,4.581461132,204.8305216,319.64,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,West Midlands,0.877994123
7387,4.341397353,491.9131738,771.13,Other income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,South East,0.831988148
7386,4.177481941,288.2868844,170.4,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,2 person,1 adult,One child,South East,0.800575294
7385,5.646222012,88.94,102,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Wales,1.082045574
7385,7.752268236,310.4097708,401.61,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,Wales,1.485649611
7383,6.281571555,367.1539587,1049.162,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,4 and more adults,No children,North West and Merseyside,1.203804365
7381,1.921017825,447.4845628,819.06,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,Northern Ireland,0.368145077
7380,5.766152385,555.0653094,1061.68,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,Eastern,1.105029107
7377,4.364665642,232.7190115,328.234,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,West Midlands,0.836447297
7377,5.227920622,796.44,1184.99,Other income,Yes,Part-time working,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,3 person,1 adult,Two or more children,London,1.00188203
7374,4.540586426,500.0577113,638.5,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,4 person,3 adults,One child,Wales,0.870160868
7373,5.55600083,64.49142779,259.96,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,South East,1.06475553
7372,3.407713299,182.8058251,217.65,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,West Midlands,0.653056342
7369,5.507237649,263.0695911,479.442,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,4 person,4 and more adults,No children,West Midlands,1.055410523
7366,6.325413191,504.7853727,1130,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,North West and Merseyside,1.212206204
7364,5.22580839,786.8446583,493.337,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,1.001477241
7359,6.132359706,106.3510769,185.962,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Female,1 person,1 adult,No children,Scotland,1.175209311
7357,5.843988714,377.8635861,531.984,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,1.119945711
7357,5.309541623,56.15497355,87.7,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Male,1 person,1 adult,No children,East Midlands,1.017523931
7351,5.626854129,307.1065591,403.18,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,West Midlands,1.078333901
7343,4.552876858,366.9905744,456.48,Earned income,No,Part-time working,Routine and manual occupations,Public rented,Female,3 person,2 adults,One child,South East,0.872516214
7343,5.266459846,247.0186553,515.21,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Female,3 person,3 adults,No children,South East,1.009267712
7342,5.324979558,1175,1184.99,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,4 person,2 adults,Two or more children,Eastern,1.020482466
7339,5.868282156,233.4305394,145.85,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,North West and Merseyside,1.124601322
7339,3.175177485,591.68,266.972,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.608493031
7332,4.848952299,624.7690567,705.31,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Female,3 person,3 adults,No children,Scotland,0.9292563
7321,4.280775868,791.6385121,718.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,South West,0.820370608
7319,5.048604225,177.4746262,278.852,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,0.967517722
7317,5.492804903,81.55,84.9,Other income,No,Economically inactive,Intermediate occupations,Public rented,Male,1 person,1 adult,No children,London,1.052644622
7317,3.642932296,352.8892184,1069.03,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,3 person,3 adults,No children,South West,0.69813386
7315,6.088737034,237.605,207.7,Other income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,2 person,2 adults,No children,West Midlands,1.166849434
7310,4.934096226,113.4915643,373.875,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,Wales,0.945573336
7299,6.943513173,216.9880789,526.71,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Male,4 person,2 adults,Two or more children,Yorkshire and the Humber,1.330659277
7292,5.518675686,526.6452756,177.565,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,London,1.057602515
7287,4.784536714,942.1266004,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,0.916911656
7280,3.925749676,299.1961159,532.2675,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,North West and Merseyside,0.752333163
7279,3.733927466,338.3745647,373.28,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.715572232
7275,3.106841899,513.2856414,727.934,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.595397156
7266,6.145621796,607.6438236,1094.72,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,Wales,1.177750866
7262,5.655314312,375.26,443.08,Earned income,No,Full-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,Northern Ireland,1.083788029
7262,6.997606827,208.7588582,230.404,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Scotland,1.341025819
7262,6.428033119,263.1901439,292.882,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,North West and Merseyside,1.231872352
7261,4.502661365,320.1054557,669.37,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Wales,0.862892885
7259,7.897775022,494.6663818,877,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,2 adults,One child,East Midlands,1.513534624
7259,6.329818084,264.2697452,364.852,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,2 person,2 adults,No children,East Midlands,1.21305036
7254,7.115456421,1062.805042,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Scotland,1.36361059
7249,4.163465816,92.79,178,Other income,No,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Public rented,Female,3 person,1 adult,Two or more children,London,0.797889235
7249,3.475150217,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,North West and Merseyside,0.665979996
7248,3.419842251,993.8810228,329.63,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,West Midlands,0.655380742
7239,5.296116841,566.0649701,604.42,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,South East,1.014951197
7232,4.549564672,499.6378055,474.625,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.871881465
7232,2.877977324,439.4571525,443.034,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.551537403
7220,4.551181544,315.8906963,272.55,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South East,0.872191323
7216,4.07492035,1175,592.325,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.780920325
7213,5.536485423,396.6440499,505.1575,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,North East,1.061015585
7212,4.147508694,279.3420949,481.734,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.794831202
7208,6.937891859,422.0187857,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,London,1.329582005
7208,5.190942825,871.1759585,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,South West,0.994795582
7206,4.389329135,1175,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,South East,0.841173825
7201,6.747073279,644.5680888,399.05,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,5 person or more,2 adults,Two or more children,London,1.293013411
7199,6.075164726,549.6264471,685.7371795,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,London,1.164248429
7194,5.349653291,250.8439156,316.5995,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Eastern,1.025210956
7193,5.787242817,625.5123767,701.31,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Male,5 person or more,2 adults,Two or more children,Eastern,1.109070891
7188,5.07645806,245.9675843,192.31,Earned income,Yes,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.972855649
7187,4.402566426,339.6945425,399.4695,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,East Midlands,0.843710628
7180,5.482367877,370.1365812,503.095,Other income,Yes,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,Eastern,1.050644464
7178,5.414935902,357.8010649,638.27,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,Scotland,1.037721757
7164,9.906245131,314.1939422,356.67,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,2 person,2 adults,No children,Yorkshire and the Humber,1.898439112
7164,7.704457117,660.93,401.62,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,4 person,4 and more adults,No children,Northern Ireland,1.476487058
7161,4.696304097,718.5889273,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,North East,0.900002701
7160,5.374280587,198.6154264,255.53,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,2 person,1 adult,One child,South West,1.029930547
7153,4.571759711,260.0415852,350.61,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,Eastern,0.876134936
7148,4.555689707,188.3236616,436,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.873055271
7145,4.457892168,198.9284781,289.122,Earned income,No,Full-time working,Intermediate occupations,Private rented,Male,1 person,1 adult,No children,North West and Merseyside,0.854313288
7145,5.313922468,874.3868076,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,South East,1.018363479
7144,4.612563,424.8339471,779.24,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,3 adults,One child,North West and Merseyside,0.883954505
7142,5.347515415,265.7697998,145.1595,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.024801252
7140,2.900047116,785.1773329,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Female,2 person,2 adults,No children,North West and Merseyside,0.555766872
7139,4.08186368,390.05,266.2325,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Northern Ireland,0.78225095
7133,6.200036958,391.0222199,539.852,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.188179023
7131,3.809001647,804.4019279,754.18,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,North West and Merseyside,0.729959496
7131,5.130790107,951.1572992,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,London,0.983267877
7129,3.809001647,186.0681048,315.62,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.729959496
7128,3.873725934,723.0844448,1152.923846,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,5 person or more,2 adults,Two or more children,Northern Ireland,0.7423633
7126,6.573593037,171.8416056,144.92,Other income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Private rented,Male,3 person,2 adults,One child,Scotland,1.259767547
7125,4.243639377,911.0887151,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,North West and Merseyside,0.813253747
7124,5.073235121,538.1367477,807.87,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,4 person,2 adults,Two or more children,East Midlands,0.972238003
7124,4.170451141,659.6010037,899.607,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,East Midlands,0.799227907
7115,5.290773969,470.1267229,730.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,3 adults,One child,South East,1.013927286
7111,6.678947184,333.1051816,840.342,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,East Midlands,1.279957683
7109,4.489685129,243.9,309.15,Other income,Yes,Full-time working,Intermediate occupations,Public rented,Female,4 person,2 adults,Two or more children,Wales,0.860406111
7107,4.827751385,90.50153019,206.62,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,West Midlands,0.925193343
7106,5.69956735,57.72451878,79.15,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Scotland,1.092268709
7100,4.950283585,700.1561994,921.9325,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,3 person,2 adults,One child,West Midlands,0.948675492
7086,6.381864955,235.6357573,392.34,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,London,1.223024655
7081,6.276738592,842.6593825,1093.815,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,South East,1.202878172
7071,4.170451141,765.5080081,790.11,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,East Midlands,0.799227907
7070,4.814519587,166.1012956,558.642,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South West,0.922657593
7062,5.738083823,111.0905034,102.7,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Male,1 person,1 adult,No children,North West and Merseyside,1.09965003
7062,2.838507502,341.3032282,363.475,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,East Midlands,0.543973382
7060,4.74579706,184.1191564,153.25,Earned income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,2 person,2 adults,No children,South East,0.909487564
7060,4.303847934,168.1,71,Other income,No,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,East Midlands,0.824792153
7058,4.704752751,432.8780681,571.38,Earned income,Yes,Full-time working,Routine and manual occupations,Private rented,Male,4 person,2 adults,Two or more children,South West,0.901621807
7056,3.914402156,249.7300504,251.792,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.750158517
7056,4.754769096,517.2384203,927.05,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.911206971
7049,4.67573699,723.4795085,338.58,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,East Midlands,0.896061208
7045,4.269268874,63.63923579,124.95,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Private rented,Female,3 person,1 adult,Two or more children,London,0.8181654
